expenditure ID,TIF DISTRICT,AREA,DISTRICT EXPIRATION,PROJECT / EXPENDITURE,YEAR,STATUS,AMOUNT,BALANCE,REF
450,Addison South,Northwest Side,2020-06-04,Administrative Costs ,2010,Committed,-30100,7142072,T-150
451,Addison South,Northwest Side,2020-06-04,Estimated Incremental Property Tax Revenue ,2011,Committed,1623238,8765310,T-150
452,Addison South,Northwest Side,2020-06-04,Midway Games Inc. Note Payment ,2011,Committed,0,8765310,T-150
453,Addison South,Northwest Side,2020-06-04,Administrative Costs ,2011,Committed,-30100,8735210,T-150
454,Addison South,Northwest Side,2020-06-04,FY Beginning Cash Balance ,2009,Appropriated,1055411,1055411,T-150
455,Addison South,Northwest Side,2020-06-04,Professional services account ,2009,Appropriated,-45000,1010411,T-150
456,Addison South,Northwest Side,2020-06-04,Green Exchange ,2009,Committed,-250000,760411,T-150
457,Addison South,Northwest Side,2020-06-04,Small Business Improvement Fund ,2009,Pending,-250000,510411,T-150
458,Addison South,Northwest Side,2020-06-04,Neighborhood Improvement Fund ,2009,Pending,-1000000,-489589,T-150
459,Addison South,Northwest Side,2020-06-04,Estimated Incremental Property Tax Revenue ,2010,Committed,1000000,510411,T-150
460,Addison South,Northwest Side,2020-06-04,Administration  -- TBD ,2010,Committed,0,510411,T-150
461,Addison South,Northwest Side,2020-06-04,Estimated Incremental Property Tax Revenue ,2011,Committed,1000000,1510411,T-150
462,Addison South,Northwest Side,2020-06-04,Administration  -- TBD ,2011,Committed,0,1510411,T-150
463,Archer/Central,Southwest Side,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,3536528,3536528,T- 99
464,Archer/Central,Southwest Side,2024-12-31,Professional Services Account ,2009,Appropriated,-25000,3511528,T- 99
465,Archer/Central,Southwest Side,2024-12-31,Traffic signal @ Archer/Laramie ,2009,Appropriated,-350000,3161528,T- 99
466,Archer/Central,Southwest Side,2024-12-31,Acqusition account increase ,2009,Appropriated,-2222000,939528,T- 99
467,Archer/Central,Southwest Side,2024-12-31,Shop and Save Closing Payment ,2009,Committed,-300000,639528,T- 99
468,Archer/Central,Southwest Side,2024-12-31,"Parking lane repaving: 63rd St, Cicero to Kostner  -- split ",2009,Pending,-201055,438473,T- 99
469,Archer/Central,Southwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,801337,1239810,T- 99
470,Archer/Central,Southwest Side,2024-12-31,Administrative Costs ,2010,Committed,-16238,1223572,T- 99
471,Archer/Central,Southwest Side,2024-12-31,PreAcquisition Services ,2010,Committed,-100000,1123572,T- 99
472,Archer/Central,Southwest Side,2024-12-31,Shop and Save Payment ,2010,Committed,-300000,823572,T- 99
473,Archer/Central,Southwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,801337,1624910,T- 99
474,Archer/Central,Southwest Side,2024-12-31,Administrative Costs ,2011,Committed,-16238,1608672,T- 99
475,Archer/Central,Southwest Side,2024-12-31,Streetscaping Plan Cicero  -- 6400 - 6700 ,2011,Committed,-50000,1558672,T- 99
476,Archer/Central,Southwest Side,2024-12-31,Shop and Save Payment ,2011,Committed,-300000,1258672,T- 99
477,Archer/Central,Southwest Side,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,0,0,T- 99
478,Archer/Central,Southwest Side,2024-12-31,"Sreet resurfacing: S. Western Ave, 3100 to 3200 ",2009,On Hold,-44747,-44747,T- 99
479,Archer/Central,Southwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,0,-44747,T- 99
480,Archer/Central,Southwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,0,-44747,T- 99
481,Archer/Central,Southwest Side,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,995555,995555,T- 99
482,Archer/Central,Southwest Side,2024-12-31,"Stamped Concrete: Archer, Wentworth to Princeton ",2009,Appropriated,-2528,993027,T- 99
483,Archer/Central,Southwest Side,2024-12-31,"Arterial streets ADA ramps design & construction  (min = 12,400 for design) ",2009,Appropriated,-102000,891027,T- 99
484,Archer/Central,Southwest Side,2024-12-31,Community Housing Partners V Note Payment ,2009,Committed,-175000,716027,T- 99
485,Archer/Central,Southwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,280344,996370,T- 99
486,Archer/Central,Southwest Side,2024-12-31,Administrative Costs ,2010,Committed,-5560,990810,T- 99
487,Archer/Central,Southwest Side,2024-12-31,Community Housing Partners V Note Payment ,2010,Committed,-175000,815810,T- 99
488,Archer/Central,Southwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,280344,1096154,T- 99
489,Archer/Central,Southwest Side,2024-12-31,Administrative Costs ,2011,Committed,-5560,1090594,T- 99
490,Archer/Central,Southwest Side,2024-12-31,Community Housing Partners V Note Payment ,2011,Committed,-175000,915594,T- 99
491,Armitage and Pulaski,Northwest Side,2031-12-31,FY Beginning Cash Balance ,2009,Appropriated,221639,221639,T-151
492,Armitage and Pulaski,Northwest Side,2031-12-31,Pedestrian countdown signal @ N. Kostner & W. Armitage ,2009,Committed,-12000,209639,T-151
493,Armitage and Pulaski,Northwest Side,2031-12-31,"SBIF (1M auth., 750 remaining) ",2009,Committed,-250000,-40361,T-151
494,Armitage and Pulaski,Northwest Side,2031-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,221600,181239,T-151
495,Armitage and Pulaski,Northwest Side,2031-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,221600,402839,T-151
496,Austin Commercial,West Side,2031-12-31,FY Beginning Cash Balance ,2009,Appropriated,913478,913478,T-156
497,Austin Commercial,West Side,2031-12-31,Sidwalk: 4859 & 4909 W. Division ,2009,Appropriated,-15000,898478,T-156
498,Austin Commercial,West Side,2031-12-31,Bus pad: 4859 & 4909 W. Division ,2009,Appropriated,-33500,864978,T-156
499,Austin Commercial,West Side,2031-12-31,Safe Routes to School match @ San Miguel Elem. ,2009,Appropriated,-40000,824978,T-156
500,Austin Commercial,West Side,2031-12-31,"SBIF (750k auth., 250k remaining) ",2009,Appropriated,-500000,324978,T-156
501,Austin Commercial,West Side,2031-12-31,Administrative Costs ,2009,Committed,0,324978,T-156
502,Austin Commercial,West Side,2031-12-31,"SBIF (750k auth., 0 remaining) ",2009,Committed,-250000,74978,T-156
503,Austin Commercial,West Side,2031-12-31,Broadband Initiative ,2009,Pending,-113507,-38529,T-156
504,Austin Commercial,West Side,2031-12-31,"Neighborhood Impr. Prgm. (500k auth., 250 reamaining) ",2009,Pending,-250000,-288529,T-156
505,Austin Commercial,West Side,2031-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,913000,624471,T-156
506,Austin Commercial,West Side,2031-12-31,Administrative Costs ,2010,Committed,0,624471,T-156
507,Austin Commercial,West Side,2031-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,913000,1537471,T-156
508,Austin Commercial,West Side,2031-12-31,Administrative Costs ,2011,Committed,0,1537471,T-156
509,Avalon Park/South Shore,South Side,2026-12-31,FY Beginning Cash Balance ,2009,Appropriated,1744477,1744477,T-123
510,Avalon Park/South Shore,South Side,2026-12-31,"SBIF (500k auth., 0 remaining) ",2009,Committed,-500000,1244477,T-123
511,Avalon Park/South Shore,South Side,2026-12-31,"Streetscape- Exchange77th to 79th Place; 79th, Exchange to Marquette ",2009,Committed,-500000,744477,T-123
512,Avalon Park/South Shore,South Side,2026-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,646605,1391082,T-123
513,Avalon Park/South Shore,South Side,2026-12-31,Administrative Costs ,2010,Committed,-12300,1378782,T-123
514,Avalon Park/South Shore,South Side,2026-12-31,MSAC Ph.1 Debt Service 2010 - port to 71st/Stony Island - S. Shore HS ,2010,Committed,-375884,1002899,T-123
515,Avalon Park/South Shore,South Side,2026-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,646605,1649503,T-123
516,Avalon Park/South Shore,South Side,2026-12-31,Administrative Costs ,2011,Committed,-12300,1637203,T-123
517,Avalon Park/South Shore,South Side,2026-12-31,MSAC Ph.1 Debt Service 2011 - port to 71st/Stony Island - S. Shore HS ,2011,Committed,-452181,1185022,T-123
518,Belmont/Central,Northwest Side,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,4884202,4884202,T- 81
519,Belmont/Central,Northwest Side,2024-12-31,Pedestrian countdown signal @ Diversey & Central ,2009,Appropriated,-12000,4872202,T- 81
520,Belmont/Central,Northwest Side,2024-12-31,"Diagonal parking @ Lorel Ave, Fullerton to 1st alley south ",2009,Appropriated,-30000,4842202,T- 81
521,Belmont/Central,Northwest Side,2024-12-31,"Lighting: Central, Diversey to Barry  -- add'l ",2009,Appropriated,-64000,4778202,T- 81
522,Belmont/Central,Northwest Side,2024-12-31,"Lighting: Central, Diversy to Barry ",2009,Appropriated,-550000,4228202,T- 81
523,Belmont/Central,Northwest Side,2024-12-31,Sidewalks / trees  -- add'l ,2009,Committed,-16807,4211395,T- 81
524,Belmont/Central,Northwest Side,2024-12-31,"New Sidewalk: Central Ave, Diversey to George ",2009,Committed,-238450,3972944,T- 81
525,Belmont/Central,Northwest Side,2024-12-31,"New Sidewalk: Central Ave, George to Wellington ",2009,Committed,-277774,3695170,T- 81
526,Belmont/Central,Northwest Side,2024-12-31,"Ornamental lighting: Cetnral, Diversey to Fullteron ",2009,Committed,-1300000,2395170,T- 81
527,Belmont/Central,Northwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,2710939,5106109,T- 81
528,Belmont/Central,Northwest Side,2024-12-31,Administrative Costs ,2010,Committed,-51600,5054509,T- 81
529,Belmont/Central,Northwest Side,2024-12-31,MSAC Ph.1 Debt Service 2010 - port to Galewood/Armitage - Belmont Cragin ,2010,Committed,-211642,4842867,T- 81
530,Belmont/Central,Northwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,2710939,7553806,T- 81
531,Belmont/Central,Northwest Side,2024-12-31,Administrative Costs ,2011,Committed,-51600,7502206,T- 81
532,Belmont/Central,Northwest Side,2024-12-31,MSAC Ph.1 Debt Service 2011 - port to Galewood/Armitage - Belmont Cragin ,2011,Committed,-247491,7254715,T- 81
533,Belmont/Cicero,Northwest Side,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,1995839,1995839,T- 82
534,Belmont/Cicero,Northwest Side,2024-12-31,Traffic signal @ Belmont / Lamon ,2009,Appropriated,-350000,1645839,T- 82
535,Belmont/Cicero,Northwest Side,2024-12-31,Pre-Acquisition Accounts ,2009,Committed,-50000,1595839,T- 82
536,Belmont/Cicero,Northwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,1155333,2751172,T- 82
537,Belmont/Cicero,Northwest Side,2024-12-31,Administrative Costs ,2010,Committed,-20000,2731172,T- 82
538,Belmont/Cicero,Northwest Side,2024-12-31,Senior Suites of Kelvyn Park ,2010,Committed,-150000,2581172,T- 82
539,Belmont/Cicero,Northwest Side,2024-12-31,Open Space Landscaping ,2010,Pending,-20000,2561172,T- 82
540,Belmont/Cicero,Northwest Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,1155333,3716505,T- 82
541,Belmont/Cicero,Northwest Side,2024-12-31,Administrative Costs ,2011,Committed,-20000,3696505,T- 82
542,Belmont/Cicero,Northwest Side,2024-12-31,Senior Suites of Kelvyn Park ,2011,Committed,-150000,3546505,T- 82
543,Bronzeville,South Side,2022-12-31,FY Beginning Cash Balance ,2009,Appropriated,16321921,16321921,T- 61
544,Bronzeville,South Side,2022-12-31,Lighting: Federal to Prairie ,2009,Appropriated,-64000,16257921,T- 61
545,Bronzeville,South Side,2022-12-31,"Sidewalks/Pkwy restoration/ tree installation: Michigan Ave, 37th Pl to 37th St ",2009,Appropriated,-152789,16105132,T- 61
546,Bronzeville,South Side,2022-12-31,South Park Plaza / Prairie Courts Debt Service  (need amt.) ,2009,Committed,0,16105132,T- 61
547,Bronzeville,South Side,2022-12-31,Pre-acquisition account ,2009,Committed,-50000,16055132,T- 61
548,Bronzeville,South Side,2022-12-31,Dunbar Park ,2009,Committed,-1000000,15055132,T- 61
549,Bronzeville,South Side,2022-12-31,Metropolis RDA ,2009,Committed,-1100000,13955132,T- 61
550,Bronzeville,South Side,2022-12-31,Broadband Initiative ,2009,Pending,-1048004,12907127,T- 61
551,Bronzeville,South Side,2022-12-31,Right of way improvements: 37th St to 37th Place ,2009,Requested,-80000,12827127,T- 61
552,Bronzeville,South Side,2022-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,3439288,16266416,T- 61
553,Bronzeville,South Side,2022-12-31,South Park Plaza / Prairie Courts Debt Service  (need  amt.) ,2010,Committed,0,16266416,T- 61
554,Bronzeville,South Side,2022-12-31,Pershing Courts Debt Service  (need  amt.) ,2010,Committed,0,16266416,T- 61
555,Bronzeville,South Side,2022-12-31,Administrative Costs ,2010,Committed,-65500,16200916,T- 61
556,Bronzeville,South Side,2022-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,3439288,19640204,T- 61
557,Bronzeville,South Side,2022-12-31,South Park Plaza / Prairie Courts Debt Service  (need  amt.) ,2011,Committed,0,19640204,T- 61
558,Bronzeville,South Side,2022-12-31,Pershing Courts Debt Service  (need amt.) ,2011,Committed,0,19640204,T- 61
559,Bronzeville,South Side,2022-12-31,Administrative Costs ,2011,Committed,-65500,19574704,T- 61
560,Bryn Mawr/Broadway,North Side,2019-12-11,FY Beginning Cash Balance ,2009,Appropriated,4892836,4892836,T- 13
561,Bryn Mawr/Broadway,North Side,2019-12-11,RTA Planning Grant ,2009,Appropriated,-16667,4876169,T- 13
562,Bryn Mawr/Broadway,North Side,2019-12-11,Banners for Bryn Mawr Historic District ,2009,Appropriated,-146803,4729366,T- 13
563,Bryn Mawr/Broadway,North Side,2019-12-11,Broman Park Env. Clean-up ,2009,Appropriated,-168000,4561366,T- 13
564,Bryn Mawr/Broadway,North Side,2019-12-11,Port to Hollywood/Sheridan for SBIF ,2009,Appropriated,-250000,4311366,T- 13
565,Bryn Mawr/Broadway,North Side,2019-12-11,"Arterial streets ADA ramps design & construction  (min = 68,200 for design) ",2009,Appropriated,-359000,3952366,T- 13
566,Bryn Mawr/Broadway,North Side,2019-12-11,Pre-Acquisition Account ,2009,Committed,-50000,3902366,T- 13
567,Bryn Mawr/Broadway,North Side,2019-12-11,5556 N. Sheridan - Additional Utility Relocation Costs  -- non BOE ,2009,Committed,-56393,3845973,T- 13
568,Bryn Mawr/Broadway,North Side,2019-12-11,Good Taste Bakery ,2009,Committed,-59650,3786323,T- 13
569,Bryn Mawr/Broadway,North Side,2019-12-11,"SBIF (750 auth., 500 prev. released, 0 remaining) ",2009,Committed,-250000,3536323,T- 13
570,Bryn Mawr/Broadway,North Side,2019-12-11,Nookies ,2009,Committed,-300000,3236323,T- 13
571,Bryn Mawr/Broadway,North Side,2019-12-11,Bank Note Debt Service  -- Final Payment ,2009,Committed,-410000,2826323,T- 13
572,Bryn Mawr/Broadway,North Side,2019-12-11,Port to Hollywood/Sheridan  -- acquisition for Edgewater library ,2009,Committed,-1125000,1701323,T- 13
573,Bryn Mawr/Broadway,North Side,2019-12-11,Bromann Park playground ,2009,Pending,-350000,1351323,T- 13
574,Bryn Mawr/Broadway,North Side,2019-12-11,Estimated Incremental Property Tax Revenue ,2010,Committed,1308073,2659396,T- 13
575,Bryn Mawr/Broadway,North Side,2019-12-11,Administrative Costs ,2010,Committed,-25000,2634396,T- 13
576,Bryn Mawr/Broadway,North Side,2019-12-11,Estimated Incremental Property Tax Revenue ,2011,Committed,1308073,3942468,T- 13
577,Bryn Mawr/Broadway,North Side,2019-12-11,Administrative Costs ,2011,Committed,-25000,3917468,T- 13
578,Bryn Mawr/Broadway,North Side,2019-12-11,FY Beginning Cash Balance ,2009,Appropriated,58969690,58969690,T- 13
579,Bryn Mawr/Broadway,North Side,2019-12-11,Estimated Incremental Property Tax Revenue ,2010,Committed,9545820,68515510,T- 13
580,Bryn Mawr/Broadway,North Side,2019-12-11,Administrative Costs ,2010,Committed,-226850,68288660,T- 13
581,Bryn Mawr/Broadway,North Side,2019-12-11,Potential Redevelopment Project ,2010,Proposed,-60000000,8288660,T- 13
582,Bryn Mawr/Broadway,North Side,2019-12-11,Estimated Incremental Property Tax Revenue ,2011,Committed,9545820,17834480,T- 13
583,Bryn Mawr/Broadway,North Side,2019-12-11,Administrative Costs ,2011,Committed,-226850,17607630,T- 13
584,Canal St/Congress Expy,Central,2022-12-31,FY Beginning Cash Balance ,2009,Appropriated,35801820,35801820,T- 63
585,Canal St/Congress Expy,Central,2022-12-31,555 W. Monroe RDA  -- Little Note payment ,2009,Appropriated,-123221,35678599,T- 63
586,Canal St/Congress Expy,Central,2022-12-31,Central Business District Underground Mapping Intiative Phase 3 ,2009,Appropriated,-176215,35502384,T- 63
587,Canal St/Congress Expy,Central,2022-12-31,US Fitness LLC Payment for 09 ,2009,Appropriated,-280659,35221725,T- 63
588,Canal St/Congress Expy,Central,2022-12-31,Lighting around Union Station ,2009,Appropriated,-600000,34621725,T- 63
589,Canal St/Congress Expy,Central,2022-12-31,Viaduct Jackson Blvd  -- add'l ,2009,Appropriated,-634000,33987725,T- 63
590,Canal St/Congress Expy,Central,2022-12-31,550 W. Jackson LLC Note Payment ,2009,Appropriated,-911949,33075775,T- 63
591,Canal St/Congress Expy,Central,2022-12-31,550 W. Adams LLC Note Payment ,2009,Appropriated,-1087315,31988461,T- 63
592,Canal St/Congress Expy,Central,2022-12-31,Union Station Intermodal Transporation Center acquisition ,2009,Appropriated,-1386000,30602461,T- 63
593,Canal St/Congress Expy,Central,2022-12-31,Sidewalks around: Union Station ,2009,Appropriated,-1500000,29102461,T- 63
594,Canal St/Congress Expy,Central,2022-12-31,Vaulted sidewalk fill-in: 208 S. Jefferson ,2009,Committed,-82254,29020207,T- 63
595,Canal St/Congress Expy,Central,2022-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,18595286,47615493,T- 63
596,Canal St/Congress Expy,Central,2022-12-31,555 W. Monroe RDA  -- Little Note payment  -- est ,2010,Committed,-121150,47494343,T- 63
597,Canal St/Congress Expy,Central,2022-12-31,Administrative Costs ,2010,Committed,-307600,47186743,T- 63
598,Canal St/Congress Expy,Central,2022-12-31,550 W. Jackson LLC Note Payment  -- est ,2010,Committed,-912000,46274743,T- 63
599,Canal St/Congress Expy,Central,2022-12-31,550 W. Adams LLC Note Payment  -- est ,2010,Committed,-1100000,45174743,T- 63
600,Canal St/Congress Expy,Central,2022-12-31,Port to River South for Ping Tom Park - 2010 ,2010,Committed,-10000000,35174743,T- 63
601,Canal St/Congress Expy,Central,2022-12-31,Port to River South for Wells St. Project A  -- 15th - 18th Construction ,2010,Pending,-8000000,27174743,T- 63
602,Canal St/Congress Expy,Central,2022-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,18595286,45770029,T- 63
603,Canal St/Congress Expy,Central,2022-12-31,555 W. Monroe RDA  -- Little Note payment  -- est ,2011,Committed,-121150,45648879,T- 63
604,Canal St/Congress Expy,Central,2022-12-31,Administrative Costs ,2011,Committed,-307600,45341279,T- 63
605,Canal St/Congress Expy,Central,2022-12-31,550 W. Jackson LLC Note Payment  -- est ,2011,Committed,-912000,44429279,T- 63
606,Canal St/Congress Expy,Central,2022-12-31,550 W. Adams LLC Note Payment  -- est ,2011,Committed,-1100000,43329279,T- 63
607,Canal St/Congress Expy,Central,2022-12-31,Port to River South for Wells St. Project B. ,2011,Pending,-25000000,18329279,T- 63
608,Central West,Central,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,20574876,20574876,T- 86
609,Central West,Central,2024-12-31,Demo @ 2335 W. Madison ,2009,Appropriated,-19800,20555076,T- 86
610,Central West,Central,2024-12-31,Community Reinvestment Fund ,2009,Appropriated,-106171,20448905,T- 86
611,Central West,Central,2024-12-31,Acquisition account increase ,2009,Appropriated,-132561,20316344,T- 86
612,Central West,Central,2024-12-31,"Lighting: Washington & Warren, Western to Damen ",2009,Appropriated,-135000,20181344,T- 86
613,Central West,Central,2024-12-31,"Lighting: Ashland, Eisenhower Exp to Madison ",2009,Appropriated,-200000,19981344,T- 86
614,Central West,Central,2024-12-31,Community Reinvestment Fund Account ,2009,Appropriated,-235153,19746191,T- 86
615,Central West,Central,2024-12-31,Acquisition account increase for 2342-50 W. Monroe ,2009,Appropriated,-276137,19470054,T- 86
616,Central West,Central,2024-12-31,950 W. Monroe Note Payment  -- 2009 ,2009,Appropriated,-377893,19092161,T- 86
617,Central West,Central,2024-12-31,"Lighting: Monroe, Jackson, and Adams near Loomis ",2009,Appropriated,-475000,18617161,T- 86
618,Central West,Central,2024-12-31,"Resurfacing: Warren, Western to Damen ",2009,Appropriated,-890000,17727161,T- 86
619,Central West,Central,2024-12-31,Women's Treatment Center RDA ,2009,Appropriated,-1000000,16727161,T- 86
620,Central West,Central,2024-12-31,Streetscape: Western Ave. Phase 2 ,2009,Appropriated,-2000000,14727161,T- 86
621,Central West,Central,2024-12-31,Port from Nearl West  -- Sangamon Park Phase I Construction ,2009,Committed,4000000,18727161,T- 86
622,Central West,Central,2024-12-31,Port from Near West for Adams/Sangamon Park Phase I Add'l Work ,2009,Committed,4000000,22727161,T- 86
623,Central West,Central,2024-12-31,Monroe/Sangamon Phase II Acquisition  -- 901-3 W. Monroe add'l ,2009,Committed,-15000,22712161,T- 86
624,Central West,Central,2024-12-31,"Lighting: VanBuren, Halsted to Racine ",2009,Committed,-105000,22607161,T- 86
625,Central West,Central,2024-12-31,TIF Plan Amendment ,2009,Committed,-150000,22457161,T- 86
626,Central West,Central,2024-12-31,Parcel 8-13; 15 S. Western ,2009,Committed,-250000,22207161,T- 86
627,Central West,Central,2024-12-31,Acquisition Reserve ,2009,Committed,-597500,21609661,T- 86
628,Central West,Central,2024-12-31,Parcel 427-1/2 2536-48 Madison ,2009,Committed,-720000,20889661,T- 86
629,Central West,Central,2024-12-31,"Streetscape: Western Ave.  -- Ph. 1, Van Buren to Monroe  -- constr. ",2009,Committed,-2000000,18889661,T- 86
630,Central West,Central,2024-12-31,"CPS ADA projects  -- Brown, Cregier ",2009,Committed,-2250250,16639411,T- 86
631,Central West,Central,2024-12-31,Adams/Sangamon Phase I Demo/ Envir./ Build-out ,2009,Committed,-4000000,12639411,T- 86
632,Central West,Central,2024-12-31,Sangamon Park Phase I Construction ,2009,Committed,-4000000,8639411,T- 86
633,Central West,Central,2024-12-31,Rush RDA payment no. 1 ,2009,Committed,-8728000,-88589,T- 86
634,Central West,Central,2024-12-31,TIF Share of Madison/Western Sale Proceeds ,2009,Pending,0,-88589,T- 86
635,Central West,Central,2024-12-31,Acquisition: 33 S. Western Ave. ,2009,Pending,-20000,-108589,T- 86
636,Central West,Central,2024-12-31,Traffic Study; West Loop Parking Study ,2009,Pending,-210000,-318589,T- 86
637,Central West,Central,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,10067913,9749324,T- 86
638,Central West,Central,2024-12-31,Port from Near West  -- Monroe/Sangamon Phase II Demo / Envr. / Buildout ,2010,Committed,2000000,11749324,T- 86
639,Central West,Central,2024-12-31,Administrative Costs ,2010,Committed,-191500,11557824,T- 86
640,Central West,Central,2024-12-31,MSAC Ph.1 Debt Service 2010 - Central West share - Skinner Elem. ,2010,Committed,-671650,10886174,T- 86
641,Central West,Central,2024-12-31,"Street resurfacing: Madison, Western to Damen ",2010,Committed,-890000,9996174,T- 86
642,Central West,Central,2024-12-31,Monroe/Sangamon Phase II Demo / Envr. / Buildout ,2010,Committed,-2000000,7996174,T- 86
643,Central West,Central,2024-12-31,Rush RDA payment no.2 ,2010,Committed,-14224950,-6228776,T- 86
644,Central West,Central,2024-12-31,Land Disposition ,2010,Pending,-250000,-6478776,T- 86
645,Central West,Central,2024-12-31,Skinner Park  -- Tot Lot Playground ,2010,Pending,-500000,-6978776,T- 86
646,Central West,Central,2024-12-31,Union Park Improvements ,2010,Pending,-1000000,-7978776,T- 86
647,Central West,Central,2024-12-31,Lighting along Washington-27th Ward ,2010,Pending,-2000000,-9978776,T- 86
648,Central West,Central,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,10067913,89136,T- 86
649,Central West,Central,2024-12-31,"Lighting: VanBuren, Ogden to Western ",2011,Committed,-120000,-30864,T- 86
650,Central West,Central,2024-12-31,Administrative Costs ,2011,Committed,-191500,-222364,T- 86
651,Central West,Central,2024-12-31,"Stamped Crosswalk: Washington, Western to Damen ",2011,Committed,-200000,-422364,T- 86
652,Central West,Central,2024-12-31,MSAC Ph.1 Debt Service 2011 - Central West share - Skinner Elem. ,2011,Committed,-717499,-1139863,T- 86
653,Central West,Central,2024-12-31,"Street resurfacing: VanBuren, Damen to Ashland ",2011,Committed,-890000,-2029863,T- 86
654,Central West,Central,2024-12-31,"Street resurfacing: Washtington, Western to Damen ",2011,Committed,-890000,-2919863,T- 86
655,Central West,Central,2024-12-31,WHP Park ,2011,Committed,-1000000,-3919863,T- 86
656,Central West,Central,2024-12-31,"Street resurfacing: VanBuren, Laflin to Loomis ",2011,Committed,-2043000,-5962863,T- 86
657,Central West,Central,2024-12-31,Rush RDA payment no. 3 ,2011,Committed,-7421400,-13384263,T- 86
658,Central West,Central,2024-12-31,Land Disposition ,2011,Pending,-200000,-13584263,T- 86
659,Central West,Central,2024-12-31,Viceroy Hotel ,2011,Pending,-5000000,-18584263,T- 86
660,Chatham Ridge,South Side,2010-12-31,FY Beginning Cash Balance ,2009,Appropriated,2540191,2540191,T- 15
661,Chatham Ridge,South Side,2010-12-31,Sales Tax Increment ,2009,Appropriated,1500000,4040191,T- 15
662,Chatham Ridge,South Side,2010-12-31,"Est. Property Tax Collections  -- 2008 levy, received 2009 ",2009,Committed,1628476,5668667,T- 15
663,Chatham Ridge,South Side,2010-12-31,Decorative Stamped Concrete - 87th/Holland Vertical Clearance ,2009,Committed,-69375,5599292,T- 15
664,Chatham Ridge,South Side,2010-12-31,Simeon High School Debt Service 2009 ,2009,Committed,-1800000,3799292,T- 15
665,Chatham Ridge,South Side,2010-12-31,"Bond Debt Service due in 2010  -- 1 of 4 remaining, last payment due 2013 ",2009,Committed,-2127383,1671909,T- 15
666,Chatham Ridge,South Side,2010-12-31,"Est. Property Tax Collections  -- 2009 levy, received 2010 ",2010,Committed,1628476,3300385,T- 15
667,Chatham Ridge,South Side,2010-12-31,Sales Tax Increment ,2010,Committed,1500000,4800385,T- 15
668,Chatham Ridge,South Side,2010-12-31,Administrative Costs ,2010,Committed,-67050,4733335,T- 15
669,Chatham Ridge,South Side,2010-12-31,Simeon High School Debt Service 2010 ,2010,Committed,-1800000,2933335,T- 15
670,Chatham Ridge,South Side,2010-12-31,"Bond Debt Service due in 2011 -- 1 of 3 remaining, last payment due 2013 ",2010,Committed,-2355263,578072,T- 15
671,Chicago/Central Park,Northwest Side,2026-12-31,FY Beginning Cash Balance ,2009,Appropriated,14168923,14168923,T-115
672,Chicago/Central Park,Northwest Side,2026-12-31,Demolition account increase ,2009,Appropriated,-13500,14155423,T-115
673,Chicago/Central Park,Northwest Side,2026-12-31,Diagonal parking @ Kildare ,2009,Appropriated,-35734,14119689,T-115
674,Chicago/Central Park,Northwest Side,2026-12-31,"SBIF (1.5M auth., 500k remaining) ",2009,Appropriated,-1000000,13119689,T-115
675,Chicago/Central Park,Northwest Side,2026-12-31,Breakthrough Urban Ministries ,2009,Appropriated,-1153961,11965728,T-115
676,Chicago/Central Park,Northwest Side,2026-12-31,Payoff of Outstanding Bank Note Balance ,2009,Committed,-664000,11301728,T-115
677,Chicago/Central Park,Northwest Side,2026-12-31,CPS ADA projects  -- Ryerson ,2009,Committed,-750000,10551728,T-115
678,Chicago/Central Park,Northwest Side,2026-12-31,Neighborhood Imprv. Prgm. ,2009,Committed,-1500000,9051728,T-115
